devID,chipID,area,R5,R5_StdDev,R5_NumSamples,R5_AvgFitQuality,R5_LeastFitQuality,R5_PlotFilename,R5_Best,R5_BestFitQuality
HB1,Chip#1,144,3103.02717653733,161.912193531638,5,0.999717965196548,0.998921430616359,R5_HB1_Chip#1_19.png,3231.91483119509,0.999900385118548
HA3,Chip#1,324,1760.13998971673,51.9194849875195,5,0.999533708821391,0.998961749580667,R5_HA3_Chip#1_20.png,1780.18135641891,0.999836787889026
HA2,Chip#1,324,1618.97603948634,32.2879487535542,2,0.999190571082634,0.998553146690506,R5_HA2_Chip#1_21.png,1641.80706700058,0.999827995474761
HA1,Chip#1,324,1985.6324075645,75.6796468790498,3,0.999480021755717,0.99883073654104,R5_HA1_Chip#1_22.png,2026.97214826972,0.999884198579309
GC4,Chip#1,36,7611.86093195191,165.7423767189,4,0.999640060295346,0.999518788034506,R5_GC4_Chip#1_23.png,7718.6581634976,0.999769359805796
GB4,Chip#1,144,1970.27250210171,134.296503539836,5,0.999851620904068,0.999591906348952,R5_GB4_Chip#1_24.png,1868.08243259398,0.999861118780324
GA4,Chip#1,324,1996.02318384757,29.214261433827,3,0.999714490174464,0.999298744290757,R5_GA4_Chip#1_25.png,2043.18762421576,0.999934616656697
GA3,Chip#1,324,1711.26092297036,176.268581595977,5,0.99975425018618,0.998854341743714,R5_GA3_Chip#1_26.png,1838.72975626941,0.999966931570112
GA2,Chip#1,324,1738.7609642135,69.1729480903003,5,0.999344642681545,0.997963803708679,R5_GA2_Chip#1_27.png,1834.8331663471,0.999464964527871
DD4,Chip#1,4,23184.2782409212,598.143137818575,4,0.9983836979672,0.997335865857376,R5_DD4_Chip#1_28.png,24257.0274358285,0.998618416458694
DD3,Chip#1,4,NaN,NaN,0,NaN,NaN,,NaN,NaN
DD2,Chip#1,4,24607.0677800718,654.330979064613,4,0.997532535371499,0.995719624280334,R5_DD2_Chip#1_30.png,24540.6487023219,0.999051610652592
DC4,Chip#1,36,6641.46382031734,246.847381341321,5,0.999780680367657,0.999626377004152,R5_DC4_Chip#1_31.png,7026.91345049825,0.999626377004152
DC3,Chip#1,36,NaN,NaN,0,NaN,NaN,,NaN,NaN
DC2,Chip#1,36,6786.43028926689,204.425749817109,5,0.999777273079233,0.999608859515613,R5_DC2_Chip#1_33.png,7036.56253233741,0.999806721260588
DB4,Chip#1,144,3078.67313495141,48.7628316447874,3,0.999911084574763,0.999859636561141,R5_DB4_Chip#1_34.png,3125.45183090509,0.999930258479466
